DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=11 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=11 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=13 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=13 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=9 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=9 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=15 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=15 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=8 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=8 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=7 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=7 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=3 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=3 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=4 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=4 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=5 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=5 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=6 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=6 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=17 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=17 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=21 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=21 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=19 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=19 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=14 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=14 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=10 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=10 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=20 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=20 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2018-01-30 08:33, ERROR NO: 1064, ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE e_dept_id_target=12 AND e_cat_id=1' at line 1, QUERY: SELECT DISTINCT e_dept_id_source WHERE e_dept_id_target=12 AND e_cat_id=1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/controllers/reports.php, 
DATE: 2024-01-18 10:41, ERROR NO: , ERROR: , QUERY: INSERT INTO audit_log (a_id, a_table, a_action, a_description, a_date, a_time) VALUES (NULL,'login','LOGIN',' IP: ::1 by ficadmin', '2024-01-18', '17:41:18'), USER: , IP: ::1, FILE: C:/wamp64/www/fbniicss/admin/login/index.php, 
DATE: 2024-01-21 15:55, ERROR NO: , ERROR: , QUERY: SELECT * FROM departments WHERE d_id =  ORDER BY 1 ASC, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/controllers.php, 
DATE: 2024-01-22 07:10, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
DATE: 2024-01-22 07:10, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
DATE: 2024-01-22 07:10, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
DATE: 2024-01-22 07:10, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
DATE: 2024-01-23 06:56, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
DATE: 2024-01-23 06:56, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
DATE: 2024-01-23 06:56, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
DATE: 2024-01-23 06:56, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
DATE: 2024-01-23 06:58, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
DATE: 2024-01-23 06:58, ERROR NO: , ERROR: , QUERY: SELECT DISTINCT m_dept_id_destination FROM mapping WHERE m_dept_id_source =  AND m_cat_id = 1, USER: ficadmin, IP: ::1, FILE: C:/wamp64/www/fbniicss2/admin/controllers/reports.php, 
